uniqueID,reportedTime,clearedTime,timeType,siteCode,cellName,count,cell,l_cellDown,l_siteDown
U2K1N:8551:56.3764970873459288,2021-08-21 15:18:00,2021-08-21 15:23:28,on,ES1U0343,ES1U0343A1,9,6,0,0
U2K1N:8551:56.3764970906835097,2021-08-21 15:18:00,2021-08-21 15:23:28,on,ES1U0343,ES1U0343A3,9,8,0,0
U2K1N:8551:56.3764970890097630,2021-08-21 15:18:00,2021-08-21 15:23:27,on,ES1U0343,ES1U0343A2,9,2,0,0
U2K1N:8551:56.3764970890097630,2021-08-21 15:23:27,,off,ES1U0343,ES1U0343A2,9,2,0,0
U2K1N:8551:56.3764970906835097,2021-08-21 15:23:28,,off,ES1U0343,ES1U0343A3,9,8,0,0
U2K1N:8551:56.3764970873459288,2021-08-21 15:23:28,,off,ES1U0343,ES1U0343A1,9,6,0,0
U2K1N:8551:56.3742232626378895,2021-08-21 15:24:18,,off,LN2U0510,LN2U0510C2,6,4,0,0
U2K1N:8551:56.3742232522471991,2021-08-21 15:24:18,,off,LN2U0510,LN2U0510B1,6,1,0,0
U2K1N:8551:56.3742232513958920,2021-08-21 15:24:18,,off,LN2U0510,LN2U0510C1,6,3,0,0
U2K1N:8551:56.3742232530171837,2021-08-21 15:24:18,,off,LN2U0510,LN2U0510A1,6,6,0,0
U2K1N:8551:56.3742232632753297,2021-08-21 15:24:18,,off,LN2U0510,LN2U0510B2,6,2,0,0
U2K1N:8551:56.3742232638438391,2021-08-21 15:24:18,,off,LN2U0510,LN2U0510A2,6,5,0,0
U2K2N:8551:56.3778213766613160,2021-08-21 18:59:18,2021-08-22 09:30:45,on,KD2U0541,KD2U0541B1,6,1,1,0
U2K2N:8551:56.3778213895875676,2021-08-21 18:59:18,2021-08-22 09:30:45,on,KD2U0541,KD2U0541B2,6,3,1,0
U2K2N:8551:56.3778213907093953,2021-08-21 18:59:18,2021-08-22 09:30:45,on,KD2U0541,KD2U0541C1,6,2,1,0
U2K2N:8551:56.3778213901718410,2021-08-21 18:59:18,2021-08-22 09:30:45,on,KD2U0541,KD2U0541A2,6,6,1,0
U2K2N:8551:56.3778213844335787,2021-08-21 18:59:18,2021-08-22 09:30:45,on,KD2U0541,KD2U0541C2,6,4,1,0
U2K2N:8551:56.3778213823781241,2021-08-21 18:59:18,2021-08-22 09:30:45,on,KD2U0541,KD2U0541A1,6,5,1,1
U2K1N:8551:56.3822888725509123,2021-08-22 07:23:52,2021-08-22 11:14:47,on,BU2U0102,BU2U0102B1,6,4,1,0
U2K1N:8551:56.3822888733473352,2021-08-22 07:23:52,2021-08-22 11:14:47,on,BU2U0102,BU2U0102A1,6,5,1,0
U2K1N:8551:56.3822888544603407,2021-08-22 07:23:52,2021-08-22 11:14:47,on,BU2U0102,BU2U0102C2,6,2,1,0
U2K1N:8551:56.3822888717073384,2021-08-22 07:23:52,2021-08-22 11:14:47,on,BU2U0102,BU2U0102C1,6,6,1,0
U2K1N:8551:56.3822888551479462,2021-08-22 07:23:52,2021-08-22 11:14:47,on,BU2U0102,BU2U0102B2,6,3,1,0
U2K1N:8551:56.3822888558117912,2021-08-22 07:23:52,2021-08-22 11:14:47,on,BU2U0102,BU2U0102A2,6,1,1,1
U2K1N:8551:56.3829702163747124,2021-08-22 09:17:24,2021-08-22 09:19:41,on,FS2U1301,FS2U1301A2,4,1,0,0
U2K1N:8551:56.3829702159474738,2021-08-22 09:17:24,2021-08-22 09:19:41,on,FS2U1301,FS2U1301B2,4,4,0,0
